0,0,0-0.48302746,-0.0684149,0.04963134,5
-3.0610185,3.1743784,8.143075,-0.48302746,-0.0684149,0.04963134,5
-3.1480572,2.487339,7.900502,-0.48302746,-0.0684149,0.04963134,5
-3.1480572,2.487339,7.900502,-0.2145601,0.1771457,-0.008246438,5
-0.90059865,1.6187445,10.60858,-0.2145601,0.1771457,-0.008246438,5
-0.90059865,1.6187445,10.60858,0.14339639,-1.5721681,-0.1795891,5
0.369392,1.8631115,9.927223,0.14339639,-1.5721681,-0.1795891,5
0.369392,1.8631115,9.927223,0.19592926,-0.68720317,-1.3450856,5
0.369392,1.8631115,9.927223,0.31993124,-0.8405258,-0.81105244,5
-0.5832505,3.155834,9.19173,0.31993124,-0.8405258,-0.81105244,5
0.11306087,3.746562,8.331808,0.31993124,-0.8405258,-0.81105244,5
0.11306087,3.746562,8.331808,0.21181129,-0.5711422,-0.5013529,5
-0.044865426,3.6481571,8.407183,0.21181129,-0.5711422,-0.5013529,5
-0.044865426,3.6481571,8.407183,-0.3013004,-0.016492875,-0.6565081,5
0.57846487,3.4522448,9.209974,-0.3013004,-0.016492875,-0.6565081,5
0.57846487,3.4522448,9.209974,-0.062764555,-0.2881672,-0.4808895,5
0.96430755,3.3783665,8.853743,-0.062764555,-0.2881672,-0.4808895,5
0.96430755,3.3783665,8.853743,-0.15072656,-0.21623993,-0.4097258,5
0.41605204,3.3613176,8.830712,-0.15072656,-0.21623993,-0.4097258,5
0.41605204,3.3613176,8.830712,-0.0839915,0.025808297,-0.21547636,5
0.41605204,3.3613176,8.830712,-0.31855685,0.098651834,0.044286426,5
-0.04875376,3.0816565,8.388937,-0.31855685,0.098651834,0.044286426,5
-0.25124636,2.0823538,10.096216,-0.31855685,0.098651834,0.044286426,5
-0.25124636,2.0823538,10.096216,-0.22280654,0.037108973,0.32985753,5
-0.25124636,2.0823538,10.096216,-0.07773031,0.23471805,-0.030084228,5
-0.20279172,1.5885352,10.188639,-0.07773031,0.23471805,-0.030084228,5
-0.5374878,1.2711871,9.496216,-0.07773031,0.23471805,-0.030084228,5
-0.5374878,1.2711871,9.496216,0.07070557,-0.22189027,-0.21791977,5
-0.5374878,1.2711871,9.496216,0.55693996,-3.383483,4.3538136,5
-0.007477571,-7.2149587,4.1407795,0.55693996,-3.383483,4.3538136,5
